0.482261,0.406903,-0.932589
0.500192,0.369793,-0.889992
0.509351,0.370883,-0.889917
0.516964,0.371739,-0.889715
0.466204,0.368760,-0.893073
0.455429,0.368408,-0.893028
0.445338,0.368406,-0.893291
0.532940,0.391669,-0.570209
0.429330,0.389389,-0.579026
0.503511,0.447391,-0.814714
0.459693,0.445759,-0.817630
0.615234,0.620775,-0.347874
0.346430,0.609809,-0.411184
0.673901,0.921027,-0.244861
0.221589,0.907821,-0.741463
0.676880,1.176496,-0.472647
0.410754,0.796310,-1.311504
0.684876,1.255629,-0.543088
0.471222,0.775667,-1.436566
0.668930,1.260216,-0.599276
0.480364,0.739271,-1.403189
0.654012,1.228313,-0.501683
0.461680,0.741940,-1.306854
0.564434,1.074539,-0.019523
0.388639,1.108350,0.021342
0.578116,1.529031,0.116413
0.395987,1.530278,0.144788
0.578183,1.888222,0.656289
0.410327,1.890211,0.566003
0.582419,1.935432,0.683852
0.406721,1.938464,0.597054
0.559156,2.012228,0.269997
0.433598,2.010161,0.139537
0.475661,0.417658,-0.029400
0.436951,0.374433,0.011508
0.517420,0.378278,0.011708
0.451988,0.451357,-0.001271
0.496233,0.453649,-0.001121
0.472851,0.488964,-0.011199
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.412982,0.772470,0.000000
0.434501,0.725287,0.002714
0.464067,0.696604,0.000679
0.490091,0.682034,-0.002265
0.509542,0.672781,-0.005241
0.486508,0.697040,-0.007146
0.530190,0.692605,-0.013253
0.553632,0.693594,-0.016442
0.570531,0.694541,-0.018061
0.490954,0.724877,-0.013201
0.538742,0.719035,-0.016296
0.564325,0.717695,-0.017417
0.583610,0.716446,-0.018928
0.492583,0.754650,-0.018850
0.537137,0.747972,-0.020734
0.561702,0.744551,-0.020561
0.580138,0.741487,-0.021443
0.491855,0.784555,-0.024393
0.525476,0.777976,-0.025179
0.544850,0.773231,-0.023414
0.561179,0.768985,-0.022363
