X,Y,Z
0.502274,0.327936,-1.005609
0.523371,0.285321,-0.952141
0.538060,0.285500,-0.952187
0.547872,0.286832,-0.952117
0.480540,0.286387,-0.962523
0.466524,0.287502,-0.962639
0.451691,0.289497,-0.963097
0.564671,0.305500,-0.560737
0.437492,0.308495,-0.600041
0.532259,0.376796,-0.858252
0.473648,0.380801,-0.869104
0.669361,0.561797,-0.288856
0.336934,0.550404,-0.357404
0.722541,0.890140,-0.189287
0.227372,0.844182,-0.228671
0.609540,1.083344,-0.578215
0.341217,1.056915,-0.572106
0.592386,1.177181,-0.684479
0.349278,1.149107,-0.675174
0.573678,1.141739,-0.756043
0.390543,1.110285,-0.735692
0.553275,1.083867,-0.618525
0.386861,1.069261,-0.601624
0.604554,1.168951,-0.009977
0.380205,1.161751,0.012474
0.594216,1.680649,-0.036593
0.374147,1.669263,-0.063324
0.580272,2.143977,0.427545
0.365530,2.141650,0.206083
0.582957,2.206771,0.442794
0.362713,2.208402,0.215427
0.543223,2.290528,-0.050445
0.382712,2.286330,-0.331751
0.494283,0.358928,-0.033178
0.446823,0.295573,0.005162
0.538998,0.293139,0.007920
0.466130,0.390520,0.007089
0.522244,0.388384,0.008766
0.495038,0.438678,-0.000575
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
